rank,status,BACKTEST_START_DATE,BACKTEST_END_DATE,BACKTEST_MIN_STOCK_HOLDING,BACKTEST_LONG_QUANTILE,BACKTEST_SHORT_QUANTILE,BACKTEST_INCLUDE_ALPHA_BUCKET,ROLLING_WINDOW,INSUFFICIENT_DATA_THRESHOLD,FULL_SAMPLE_FALLBACK_MAX,ALPHA_TRAILING_WINDOW,P_VALUE_THRESHOLD,SMB_STABILITY_THRESHOLD,HML_STABILITY_THRESHOLD,FACTOR_COLUMNS,score,Strategy Ann. Return,Benchmark (EW) Ann. Return,Benchmark (VW) Ann. Return,Strategy Sharpe,Benchmark (EW) Sharpe,Benchmark (VW) Sharpe,Information Ratio (vs EW),Information Ratio (vs VW),Strategy Max Drawdown,Monthly Hit Rate (vs EW),Return Months,Rebalance Years,search_batch_time
3309,completed,2015-01-01,2025-12-31,70,0.3,0,True,48,48,48,120.0,0.05,1.5,2.0,"mkt_rf, smb, hml, cma",8.063333,12.10%,11.56%,13.10%,0.80,0.77,0.86,0.17,-0.30,-25.84%,57.50%,120,10,2026-06-04 20:55:38
3310,completed,2015-01-01,2025-12-31,60,0.3,0,True,48,48,48,120.0,0.05,1.5,2.0,"mkt_rf, smb, hml, cma",8.063333,12.10%,11.56%,13.10%,0.80,0.77,0.86,0.17,-0.30,-25.84%,57.50%,120,10,2026-06-04 20:55:38
3311,completed,2010-01-01,2025-12-31,70,0.3,0,False,36,36,48,36.0,0.05,1.5,2.0,"mkt_rf, smb, hml, cma",8.0625,11.62%,11.06%,12.52%,0.81,0.78,0.88,0.22,-0.27,-26.78%,54.44%,180,15,2026-06-04 20:55:38
3312,completed,2010-01-01,2025-12-31,60,0.3,0,False,36,36,48,36.0,0.05,1.5,2.0,"mkt_rf, smb, hml, cma",8.0625,11.62%,11.06%,12.52%,0.81,0.78,0.88,0.22,-0.27,-26.78%,54.44%,180,15,2026-06-04 20:55:38
3313,completed,2010-01-01,2025-12-31,80,0.3,0,False,36,36,48,,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw, cma",8.0625,11.57%,11.11%,12.58%,0.79,0.78,0.88,0.21,-0.30,-26.20%,52.22%,180,15,2026-06-04 20:55:38
3314,completed,2010-01-01,2025-12-31,80,0.2,0,False,36,36,48,,0.05,2.0,1.5,"mkt_rf, smb, hml, rmw, mom",8.0625,11.45%,11.11%,12.58%,0.79,0.78,0.88,0.16,-0.30,-25.26%,54.44%,180,15,2026-06-04 20:55:38
3315,completed,2010-01-01,2025-12-31,70,0.1,0,False,48,48,48,120.0,0.05,2.0,2.0,"mkt_rf, smb, hml, mom",8.0625,11.48%,11.06%,12.52%,0.82,0.78,0.88,0.10,-0.29,-25.59%,52.78%,180,15,2026-06-04 20:55:38
3316,completed,2010-01-01,2025-12-31,60,0.1,0,False,48,48,48,120.0,0.05,2.0,2.0,"mkt_rf, smb, hml, mom",8.0625,11.48%,11.06%,12.52%,0.82,0.78,0.88,0.10,-0.29,-25.59%,52.78%,180,15,2026-06-04 20:55:38
3317,completed,2015-01-01,2025-12-31,70,0.3,0,True,36,36,48,36.0,0.05,2.0,1.5,"mkt_rf, smb, hml, cma",8.060833,12.25%,11.56%,13.10%,0.80,0.77,0.86,0.31,-0.28,-27.18%,54.17%,120,10,2026-06-04 20:55:38
3318,completed,2015-01-01,2025-12-31,70,0.3,0,True,36,36,48,120.0,0.05,2.0,2.0,"mkt_rf, smb, hml",8.060833,12.36%,11.56%,13.10%,0.82,0.77,0.86,0.29,-0.28,-27.97%,53.33%,120,10,2026-06-04 20:55:38
3319,completed,2015-01-01,2025-12-31,60,0.3,0,False,36,36,48,60.0,0.05,2.0,2.0,"mkt_rf, smb, hml, mom",8.060833,12.08%,11.56%,13.10%,0.80,0.77,0.86,0.16,-0.28,-25.69%,48.33%,120,10,2026-06-04 20:55:38
